2Dmemory	2Dmemory<br>二度半存储器
accounts for shared terminal	accounts for shared terminal
ACCUM	ACCUM<br>累加器;［累积器］
accumulate	accumulate
accumulator	(ACC,ACCUM)	accumulator	(ACC,ACCUM)<br>累加器;［累积器］
accumulator addressing mode	accumulator addressing mode
accumulator jump instruction	accumulator jump instruction<br>累加器转移指令;［累加器跳越指令］
accumulator register	accumulator register
accumulator shift instruction	accumulator shift instruction<br>累加器移位指令
accumulator transfer instruction	accumulator transfer instruction
accuracy control character	accuracy control character<br>准确度控制字符;［准确度控制字元］
ac dump	ac dump
acetate base	acetate base<br>醋酸盐带基
ACF	ACF
ACF2	ACF2<br>ACF2
ACIA	ACIA
ACK	ACK<br>肯定［确认］字符;［确认字元］
ACK	ACK
ACK0	ACK0<br>偶确认应答
ACK1	ACK1
acknowledge	acknowledge<br>肯定应答;［认可,肯定响应］
acknowledge character	acknowledge character
acknowledgement	acknowledgement<br>应答,确认；［认可］
acknowledgement indicator	acknowledgement indicator
acknowledgement window	acknowledgement window<br>确认次限
acknowledge signal	acknowledge signal
ACM	ACM<br>(美国)计算机协会
acoustic coupler(AC)	acoustic coupler(AC)
acoustic coupling	acoustic coupling<br>声耦合法［技术］
acoustic eavesdropping	acoustic eavesdropping
acoustic input device	acoustic input device<br>声输入装置;［声频输入装置］
acoustic modem	acoustic modem
acquisition time	acquisition time<br>采集时间
ACR	ACR
action cycle	action cycle<br>作用周期
action diagram	action diagram
action message	action message<br>动作信息
activate button	activate button
activate key	activate key<br>启动键
activation	activation
active	active<br>【修】运行的,活动的;现役的;有效的;［活跃的;有源的］
active attack	active attack
active element	active element<br>活动元件［单元］;［有源元件］
active file	active file
active job	active job<br>活动作业
active line	active line
active link	active link<br>活动［有效］链路
active master file	active master file
active master item	active master item<br>活动主项
active node	active node
active page	active page<br>活动［有效］页面;［有效页］
active page queue	active page queue
active pixel region	active pixel region<br>有效象(元显)示区
active program	active program
active sensor	active sensor<br>主动探测器
active state	active state
active station	active station<br>活动［有效］站
active storage	active storage
active threat	active threat<br>相关威胁
active user	active user
active volume	active volume<br>有效(盘)卷,现用卷
active wiretapping	active wiretapping
activity	activity<br>活动率;活动性
activity attributes	activity attributes
activity level	activity level<br>活动级
activity loading	activity loading
activity ratio	activity ratio<br>活动［有效］率;［活动比］
actual address	actual address
actual argument	actual argument<br>实际参数［变元］;［实际引数］
actual coding	actual coding
actual data transfer rate	actual data transfer rate<br>实际数据传输率;［实际资料传输率］
actual decimal point	actual decimal point
actual instruction	actual instruction<br>实际指令;［实效指令］
actual key	actual key
actual parameter	actual parameter<br>实在参数;［实际参数］
actual recipient	actual recipient
actual time	actual time<br>实时
actuating signal	actuating signal
ACV	ACV<br>地址控制向量;［位址控制向量］
A/D	A/D
Ada Ada	Ada Ada<br>语言
adaptability	adaptability
adapter	adapter<br>适配器;［配接器］
adapter check	adapter check
adapter control block (ACB)	adapter control block (ACB)<br>适配器控制块;［配接器控制块］
adaptive channel allocation	adaptive channel allocation
adaptive delta modulation(ADM)	adaptive delta modulation(ADM)<br>自适应增量调制(技术)
adaptive differential pulse code modulation (ADPCM)	adaptive differential pulse code modulation (ADPCM)
adaptive maintenance	adaptive maintenance<br>适应性维护
adaptive predictive coding(APC)	adaptive predictive coding(APC)
adaptive routing	adaptive routing<br>适应式路由选择法
adaptive systems	adaptive systems
adaptive transform coding	adaptive transform coding<br>自适应变换编码技术
ADC	ADC
ADCCP	ADCCP<br>高级数据通信控制规程
addend	addend
adder	adder<br>加法器;［加器］
adder-accumulator	adder-accumulator
adder-subtracter	adder-subtracter<br>加减器
add file	add file
add-in	add-in<br>内插式附件
add instruction	add instruction
addition	addition<br>加法
additional character	additional character
addition record	addition record<br>增加记录;［追加记录］
addition table	addition table
additive attributes	additive attributes<br>添加属性
additive cipher	additive cipher
add mode	add mode<br>加方式
add-on	add-on
add operation	add operation<br>加操作;加法运算
address	address
addressability	addressability<br>可寻址性;寻址能力
addressability measure	addressability measure
addressable cursor	addressable cursor<br>可寻址光标
addressable horizontal positions	addressable horizontal positions
addressable point	addressable point<br>可寻址点
addressable position	addressable position
addressable register	addressable register<br>可寻址寄存器;［可寻址暂存器］
addressable vertical positions	addressable vertical positions
address access type	address access type<br>地址存取型;［位址接达类型］
address bus	address bus
address code	address code<br>地址码;［位址码］
address comparator	address comparator
address complete	address complete<br>地址完整(报)
address computation	address computation
address constant	address constant<br>地址常数;［位址常数］
address control vector	address control vector
address conversion	address conversion<br>地址转换;［位址变换］
addressed direct access	addressed direct access
addressed memory	addressed memory<br>编址存储器;［编址记忆器］
addressed sequential access	addressed sequential access
address effective	address effective<br>有效地址;［有效位址］
address field	address field
address format	address format<br>地址格式;［位址格式］
address generation	address generation
addressing	addressing<br>寻址方法;编址技术;［定址］
addressing capacity	addressing capacity
addressing characters	addressing characters<br>寻址字符;［定址字元］
addressing ID	addressing ID
addressing level	addressing level<br>寻址级;［定址阶［态］］
addressing mode	addressing mode
address key	address key<br>地址关键字;［位址关键字］
addressless instruction format	addressless instruction format
address limit	address limit<br>地址界限;［位址界限］
address mapping	address mapping
address mark	address mark<br>地址标记;［位址符号］
address modification	address modification
address part	address part<br>地址部分;［位址部］
address path	address path
address reference	address reference<br>地址引用;［位址引用］
address register	address register
address separator	address separator<br>地址分隔符
address signal	address signal
address size	address size<br>地址大小;［位址大小］
address space	address space
address space identifier	address space identifier<br>(ASID)地址空间标识符;［位址空格识别号］
address stop	address stop
address trace	address trace<br>地址跟踪;［位址跟踪］
address track	address track
address-translation	address-translation<br>地址转换;［位址移动,位址翻译］
address translator	address translator
addressincomplete signal	addressincomplete signal<br>地址不完整信号
ADDR function	ADDR function
addrout file	addrout file<br>标出地址文件;［标出位址档案］
add-subtract time	add-subtract time
add time	add time<br>加法时间;［加算时间］
add to storage	add to storage
addwithoutcarry gate	addwithoutcarry gate<br>“异”门
a display surface.	a display surface.
adjacency	adjacency
adjacent	adjacent<br>邻近的
adjacent domains	adjacent domains
adjacent link station	adjacent link station<br>相邻链路站
adjacent NCPs	adjacent NCPs
adjacent nodes	adjacent nodes<br>相邻网点
adjacent signalling points	adjacent signalling points
adjacent SSCP table	adjacent SSCP table<br>相邻SSCP表
adjacent subareas	adjacent subareas
adjunct register	adjunct register<br>附加寄存器;［附加暂存器］
adjust	adjust
adjustablesize aggregate	adjustablesize aggregate<br>大小可调集合体
adjust text mode	adjust text mode
administration	administration<br>管理;行政管理机构
Administration Management  Domain	Administration Management  Domain
administrative data processing	administrative data processing<br>管理性数据处理;［行政资料处理］
Administrative Support System	Administrative Support System
Administrative Terminal System	Administrative Terminal System<br>(ATS)管理终端系统
ADP	ADP
ADP security	ADP security<br>自动数据处理安全学
ADP system	ADP system
ADP system security	ADP system security<br>自动数据处理系统安全性
ADR	ADR
Advanced Communication Function	Advanced Communication Function<br>高级通信操作程序
Advanced Communication Function for the NetworkControl Program  (ACF/NCP)	Advanced Communication Function for the NetworkControl Program  (ACF／NCP)
Advanced Communication Function for the Telecommunications Access Method(ACF/TCAM)	Advanced Communication Function for the Telecommunications Access Method(ACF／TCAM)<br>远程通信存取方法的高级通信操作程序
Advanced Communication Function for the Virtual Telecommunications Access Method Entry (ACF/VTAME)	Advanced Communication Function for the Virtual Telecommunications Access Method Entry (ACF／VTAME)
Advanced Communication Service (ACS)	Advanced Communication Service (ACS)<br>高级通信服务
advanced control	advanced control
Advanced Control System (ACS)	Advanced Control System (ACS)<br>高级控制系统
Advanced Data Communications Control Procedure(ADCCP)	Advanced Data Communications Control Procedure(ADCCP)
Advanced Research Project Agency Network (ARPANET)	Advanced Research Project Agency Network (ARPANET)<br>尖端研究项目管理局网络
advice and assessment	advice and assessment
advice language	advice language<br>引导语言
AED	AED
affinitybased routing	affinitybased routing<br>相似路由选择
affirmative acknowledgement	affirmative acknowledgement
affirmative acknowledgement	affirmative acknowledgement<br>肯定［确认］应答
AFIPS	AFIPS
after image	after image<br>改后映象
after image file	after image file
after-image journaling	after-image journaling<br>改后映象日志(登记)程序
after journal	after journal
after-look journal	after-look journal<br>二次日志文件
after-look journalising	after-look journalising
aged packet	aged packet<br>超访分组(报文)
agenda	agenda
agent	agent<br>接口进程
agglomerate	agglomerate
aggregate	aggregate<br>聚集
aggregate expression	aggregate expression
Agricola	Agricola<br>Agricola数据库;［Agricola资料基］
Agris	Agris
AI	AI<br>人工智能〓
aiming field	aiming field
aiming symbol	aiming symbol<br>目标［指引］符号
airborne computer	airborne computer
air gap	air gap<br>气隙
airline reservation system	airline reservation system
AIS	AIS<br>自动信息系统
AL	AL
Alameda Virus	Alameda Virus<br>林荫散步道病毒
alarm	alarm
alarm station	alarm station<br>警报站
ALD	ALD
alertor	alertor<br>监视报警器;［警报器］
algebraic expression manipulation statement	algebraic expression manipulation statement
algebraic language	algebraic language<br>代数语言
algebraic manipulation	algebraic manipulation
ALGOL	ALGOL<br>ALGOL语言,算法语言
ALGOL 60	ALGOL 60
ALGOL 68	ALGOL 68<br>ALGOL 68语言
ALGOL-Dartmouth	ALGOL-Dartmouth
algoristic	algoristic<br>精确算法学
algorithm	algorithm
algorithm analysis	algorithm analysis<br>算法分析;［演算法分析］
algorithm convergence	algorithm convergence
algorithmic language	algorithmic language<br>算法语言;［演算语言］
algorithm routine	algorithm routine
alias	alias<br>别名,假名,同义名;替换名;伪信号
aliasing	aliasing
aligner	aligner<br>对准器
alignment	alignment
alignment clause	alignment clause<br>对齐子句
all call	all call
allocate	allocate<br>【动】分配;［配置］
allocate storage	allocate storage
allocation	allocation<br>分配;［配置］
allocation algorithm	allocation algorithm
allocation of data set	allocation of data set<br>数据集地址分配;［资料集配置］
all purpose computer	all purpose computer
all rings broadcast frame	all rings broadcast frame<br>全环广播帧
all station broadcast frame	all station broadcast frame
Aloha Aloha	Aloha Aloha<br>网
alphabet	alphabet
alpha-beta search	alpha-beta search<br>αβ搜索技术
alpha-beta technique	alpha-beta technique
alphabetic character	alphabetic character<br>字母字符;［字符字元］
alphabetic character set	alphabetic character set
alphabetic character subset	alphabetic character subset<br>字母字符子集;［字符字元子集］
alphabetic code	alphabetic code
alphabetic coded character set	alphabetic coded character set<br>字母编码字符集;［字符编码字元集］
alphabetic shift	alphabetic shift
alphabetic string	alphabetic string<br>字母串;［字符串］
alphabetic word	alphabetic word
alpha cutoff	alpha cutoff<br>α修剪
alphageometrics	alphageometrics
alphameric	alphameric<br>【修】 字母数字的;［文数］
alphamosaic	alphamosaic
alphanumeric	alphanumeric<br>【修】字母数字的;［文数,文数式］
alphanumeric character	alphanumeric character
alphanumeric character set	alphanumeric character set<br>字母数字字符集;［文数字元集］
alphanumeric character subset	alphanumeric character subset
alphanumeric code	alphanumeric code<br>字母数字代码;［文数码］
alphanumeric coded character set	alphanumeric coded character set
alphanumeric data	alphanumeric data<br>字母数字数据;［文数资料,字母资料］
alphanumeric display device	alphanumeric display device
alphanumeric field	alphanumeric field<br>字母数字字段
alphanumeric keyboard	alphanumeric keyboard
alphanumerics mode	alphanumerics mode<br>字母数字方式;［文数模态］
alphanumeric sort	alphanumeric sort
alphanumeric VDU	alphanumeric VDU<br>字符视频显示器
alphaphotographic	alphaphotographic
alphabeta pruning	alphabeta pruning<br>αβ修剪法
alterable memory	alterable memory
alteration switch	alteration switch<br>变换开关;［转换开关］
altering	altering
alter mode	alter mode<br>修改方式
alternate buffering	alternate buffering
alternate code	alternate code<br>替代码
alternate device	alternate device
alternate index	alternate index<br>备用［替换］索引
alternate index cluster	alternate index cluster
alternate-index entry	alternate-index entry<br>备用［替换］索引表目
alternate-index record	alternate-index record
alternate index upgrade	alternate index upgrade<br>备用［替换］索引升级
alternate installation disk	alternate installation disk
alternate key	alternate key<br>备用［辅助］关键字
alternate key stroke	alternate key stroke
alternate local/remote communication link	alternate local／remote communication link<br>备用本地／远程通信链路
alternate path retry	alternate path retry
alternate program communication block	alternate program communication block<br>替换程序通信块;［替用程式通信块］
alternate recovery	alternate recovery
alternate route	alternate route<br>备用路由
alternate routing	alternate routing
alternate sector	alternate sector<br>备份扇区
alternate sector cylinder	alternate sector cylinder
alternate sector ID	alternate sector ID<br>备份扇区标识符
alternate track	alternate track
alternating operating systems	alternating operating systems<br>供选用的操作系统
alternation	alternation
alternative attribute	alternative attribute<br>择一属性
alternative box	alternative box
alternative denial	alternative denial<br>“与非”
alternative routing	alternative routing
alternative track	alternative track<br>备份磁道
ALU	ALU
ambiguity error	ambiguity error<br>二义性错误
ambiguous reference	ambiguous reference
amendment file	amendment file<br>修改文件;［修正档,停正档］
amendment record	amendment record
amendment tape	amendment tape<br>修改带;［修正带,停正带］
American Federation of Information Processing Societies(AFIPS)	American Federation of Information Processing Societies(AFIPS)
American National Standard Code for Information Interchange	American National Standard Code for Information Interchange<br>美国国家信息交换标准码
American  National Standard Control Characters	American  National Standard Control Characters
American National Standard Labels	American National Standard Labels<br>美国国家标准标号
analog	analog
analog adder	analog adder<br>模拟加法器;［类比加器］
analog channel	analog channel
analog computer	analog computer<br>模拟计算机;［类比电脑］
analog data	analog data
analog data channel	analog data channel<br>模拟数据信道;［类比资料通道］
analog depth	analog depth
analog differential analyzer (ADA)	analog differential analyzer (ADA)<br>模拟微分分析机;［类比微分分析机］
analog-digital adapter	analog-digital adapter
analog divider	analog divider<br>模拟除法器;［类比除器］
analog gate	analog gate
analog input card	analog input card<br>模拟输入卡
analog input channel	analog input channel
analog input channel amplifier	analog input channel amplifier<br>模拟输入信道放大器;［类比输入通道放大器］
analog input module	analog input module
analog integrated circuit	analog integrated circuit<br>模拟集成电路;［类比积体电路］
analog multiplier	analog multiplier
analog network	analog network<br>模拟网络;［类比网路］
analog output card	analog output card
analog output channel amplifier	analog output channel amplifier<br>模拟输出信道放大器;［类比输出通道放大器］
analog recording	analog recording
analog representation	analog representation<br>模拟表示法;［类比表示法］
analog signal	analog signal
analog-to-digital conversion	analog-to-digital conversion<br>模(拟)数(字)转换;［类比数位变换］
analog-to-digital converter	analog-to-digital converter
analog-to-digital encoder	analog-to-digital encoder<br>模拟数字编码器;［类比数位编码器］
analog transmission	analog transmission
analog variable	analog variable<br>模拟变量;［类比变数］
analogdigitalanalog converter system	analogdigitalanalog converter system
analysis block	analysis block<br>分析块;［分析段］
analysis mode	analysis mode
analyst	analyst<br>分析员;［分析师］
analytical attack	analytical attack
analytical engine	analytical engine<br>分析机;［分析引擎］
analytical model	analytical model
analyzer	analyzer<br>分析机,分析器
ancestral task	ancestral task
ancillary equipment	ancillary equipment<br>辅助［外围,外部］设备;［附属设备］
AND	AND
AND element	AND element<br>“与”元件,“与”门;［“及”元件］
AND gate	AND gate
AND-not operation	AND-not operation<br>“与非”操作;［“及反”运算］
animation	animation
anisochronous signal	anisochronous signal<br>准同步信号
anisochronous transmission	anisochronous transmission
annex memory	annex memory<br>相联存储器
annotation	annotation
annunciator	annunciator<br>报警器
ANSI	ANSI
ANSI-ASCII mode	ANSI-ASCII mode<br>美国国家标准协会的ASCII方式
ANSI keyboard	ANSI keyboard
ANSL/X3/SPARC	ANSL／X3／SPARC<br>ANSL／X3／SPARC报告
answer	answer
answerback	answerback<br>应答;［回复］
answerback memory	answerback memory
answer delay	answer delay<br>应答延迟;［回复延迟］
answering	answering
answering time	answering time<br>应答时间;［响应时间］
answer mode	answer mode
answer tone	answer tone<br>应答音
antialiasing	antialiasing
anticipatory buffering	anticipatory buffering<br>先行缓冲
anticipatory paging	anticipatory paging
anticoincidence element	anticoincidence element<br>“异”元件,“异”门;［反重合元件］
anticoincidence operation	anticoincidence operation
anticoincidence unit	anticoincidence unit<br>“异”单元;［反重合单位］
anti-eavesdrop device	anti-eavesdrop device
Antiope	Antiope<br>法国字符编码与显示标准
anti-surveillance	anti-surveillance
any-mode	any-mode<br>任意方式［状态］
any sequence queue	any sequence queue
aperture	aperture<br>(掩码)孔,小孔;［孔径;资料孔径］
API	API
APL	APL<br>APL语言
APPC	APPC
append	append<br>【动】附加
appendage task	appendage task
append mode	append mode<br>附加方式;［附加模态］
Apple	Apple
application	application<br>应用程序［系统］
application control block(ACB)	application control block(ACB)
application control code (ACC)	application control code (ACC)<br>应用程序控制代码
application control table (ACT)	application control table (ACT)
application developer	application developer<br>应用(程序)开发［研制］人员
application function routines	application function routines
application group name	application group name<br>应用组名
application information services	application information services
application layer	application layer<br>应用层
application load balancing	application load balancing
application message handler	application message handler<br>应用报文处理程序;［应用讯息处理程式］
application mode	application mode
application package	application package<br>应用程序包;［应用封装］
application problem	application problem
application process	application process<br>应用进程
application program	application program
application program exit routine	application program exit routine<br>应用程序出口例程;［应用程式出口常式］
application program identification	application program identification
application program interface	application program interface<br>应用程序接口;［应用程式界面］
application program manager	application program manager
application programmer	application programmer<br>应用程序员;［应用程式师］
application program output limits	application program output limits
application program stub	application program stub<br>应用程序子例程集
application service element	application service element
application services	application services<br>应用服务程序
application software	application software
applications package	applications package<br>应用程序包;［应用封装］
Applications Portability Profile	Applications Portability Profile
application suite	application suite<br>成套应用软件
application system	application system
application to application services	application to application services<br>应用到应用的服务程序
applicationdedicated terminal	applicationdedicated terminal
applicationentity	applicationentity<br>应用实［整］体
applicationmanagement	applicationmanagement
applicationmanagementapplicationentity	applicationmanagementapplicationentity<br>应用管理应用实体
applicationoriented language	applicationoriented language
applicative language	applicative language<br>应用［施用］式语言
approver	approver
a priori control	a priori control<br>先验控制
APT	APT
APT Ⅲ	APT Ⅲ<br>APT Ⅲ系统
arbitrary access	arbitrary access
arbitrary sequence computer	arbitrary sequence computer<br>任意顺序计算机;［任序计算机］
arbitration	arbitration
architectural design	architectural design<br>体系结构设计;［架构设计］
architecture	architecture
archive	archive<br>档案(库);【动】存档
archived file	archived file
archive file	archive file<br>档案库文件
archiving	archiving
area	area<br>区域
area mat	area mat<br>表面铺垫
area protection	area protection<br>区域保护
area search	area search<br>区域检索;［地区搜集］
area variable	area variable<br>区域变量;［地区变数］
arena	arena<br>实存块
argument	argument<br>自变量,变元;自变量［变元］的值;参数;［引数］
argument list	argument list<br>自变量［变元］表
argument passing	argument passing<br>参数传递
arithmetical instruction	arithmetical instruction<br>算术指令
arithmetic and logic unit	arithmetic and logic unit<br>算术与逻辑部件,运算器;［算术与逻辑单位］
arithmetic assignment statement	arithmetic assignment statement<br>算术赋值语句;［算术指定叙述］
arithmetic check	arithmetic check<br>算术校验［检验］;［算术核对］
arithmetic constant	arithmetic constant<br>算术常数
arithmetic data	arithmetic data<br>算术数据：［算术资料］
arithmetic exception	arithmetic exception<br>算术［运算］异常
arithmetic expression	arithmetic expression<br>算术表达式;［算术式］
arithmetic IF statement	arithmetic IF statement<br>算术IF语句;［算术IF叙述］
arithmetic instruction	arithmetic instruction<br>算术指令
arithmetic logic unit	arithmetic logic unit<br>运算器;算术逻辑装置
arithmetic operation	arithmetic operation<br>算术运算
arithmetic operator	arithmetic operator<br>算术运算符;［算术运算子,算术作用要素］
arithmetic overflow	arithmetic overflow<br>算术溢出;［算术溢流］
arithmetic picture data	arithmetic picture data<br>算术图象数据
arithmetic pipeline	arithmetic pipeline<br>算术流水线
arithmetic register	arithmetic register<br>运算寄存器;［算术暂存器］
arithmetic scan	arithmetic scan<br>算术扫描
arithmetic shift	arithmetic shift<br>算术移位
arithmetic underflow	arithmetic underflow<br>算术下溢
arithmetic unit	arithmetic unit<br>运算器;［算术单位］
arithmetization of formal system	arithmetization of formal system<br>形式系统算术化
armed interrupt	armed interrupt<br>待命［待处理］中断;［待命间断］
armed state	armed state<br>待命［待处理］状态
ARPA	ARPA<br>高级研究计划局;［(美国)高等研究计划署］
ARPANET	ARPANET<br>ARPA 计算机网
ARPA network (ARPANET) operation	ARPA network (ARPANET) operation<br>ARPA网管理
ARPA network control program (NCP)	ARPA network control program (NCP)<br>ARPA 网络控制程序;［ARPA网路控制程式］
ARPA packet switching	ARPA packet switching<br>ARPA网分组交换技术
array	array<br>数组，阵列;［行列,阵列］
array computer	array computer<br>阵列计算机;［阵列电脑］
array element	array element<br>数组元素;［阵列元件］
array logic	array logic<br>阵列逻辑(电路)
array processor	array processor<br>数组处理器;［阵列处理机］
artifact	artifact<br>非自然信号,人工制品
artificial intelligence	artificial intelligence<br>人工智能;［人工智慧］
artificial language	artificial language<br>人工语言,人造语言
artificial line	artificial line<br>仿真线,人工线,模拟线
artificial load	artificial load<br>仿真负载(器),人工装入
artificial network	artificial network<br>仿真网络
artificial perception	artificial perception<br>人工知觉
ASA	ASA<br>美国标准协会
ASA code	ASA code<br>ASA码
ASA control characters ASA	ASA control characters ASA<br>控制符,美国标准控制符
ASA label	ASA label<br>ASA［磁带］标号
ascending key	ascending key<br>递升键,递升关键字
ascending order	ascending order<br>升序
ascending sort	ascending sort<br>升序［递升］排序(法);［升序分类］
ASCII	ASCII<br>美国国家信息交换标准码
ASCII keyboard	ASCII keyboard<br>ASCII码键盘
ASCII stream file	ASCII stream file<br>ASCII码流文件;［ASCII码流档案］
ASECT	ASECT<br>绝对地址段;［绝对位址节］
ASID	ASID<br>地址空间标识符;［位址空格识别号］
ASM	ASM<br>辅助存储管理(程序)
ASP	ASP<br>非对称多重处理系统
aspect card	aspect card<br>无词卡片,特征卡片
aspect ratio	aspect ratio<br>画面长宽比;纵横比
ASR	ASR<br>自动发送接收机;［自动收发机］
assemble	assemble<br>【动】汇编;［组合］
assemble and go	assemble and go<br>汇编并运行
assembled origin	assembled origin<br>汇编起点;［组合原点］
assemble duration	assemble duration<br>汇编持续时间
assembler	assembler<br>汇编程序［器］;汇编语言;［组译器］
assembler directive	assembler directive<br>汇编命令,汇编伪指令(码);［组译器指向］
assembler directive commands	assembler directive commands<br>汇编伪指令
assembler instruction	assembler instruction<br>汇编指令;［组译器指令］
assembler language	assembler language<br>汇编语言;［组译器语言］
assembling phase	assembling phase<br>汇编阶段;［组合阶段］
assembling time	assembling time<br>汇编时间;［组合时间］
assembly	assembly<br>汇编;［组合］
assembly language	assembly language<br>汇编语言;［组合语言］
assembly language listing	assembly language listing<br>汇编语言列表(文件);［组合语言列表］
assembly list	assembly list<br>汇编表;［组合列表;组合串列］
assembly listing	assembly listing<br>汇编列表;［组合列表］
assembly phase	assembly phase<br>汇编阶段;［组合阶段］
assembly program	assembly program<br>汇编程序;［组合程式］
assembly routine	assembly routine<br>汇编过程,汇编例程;［组合常式］
assembly system	assembly system<br>汇编系统;［组合系统］
assembly testing	assembly testing<br>组合测试
assembly time	assembly time<br>汇编时间;［组合时间］
assembly unit	assembly unit<br>汇编单位
assertion	assertion<br>断言
assign	assign<br>指定,分配,赋值
assignment	assignment<br>赋值,指定;［指派］
assignment by name	assignment by name<br>按名赋值;［按名指派］
assignment indexing	assignment indexing<br>赋词标引(法)
assignment operator	assignment operator<br>赋值操作符;［指派运算子］
assignment statement	assignment statement<br>赋值语句;［指派叙述］
associated	associated<br>结合的,关联的
associated address space	associated address space<br>相联地址空间;［关联位址空格］
associated data	associated data<br>关联数据;［关联资料］
association control service element	association control service element<br>关联控制服务元
Association for Computing Machinery (ACM)	Association for Computing Machinery (ACM)<br>计算机协会
Association for Educational Data System	Association for Educational Data System<br>教育数据系统学会
associative addressing	associative addressing<br>关［相］联寻址(法)
associative array processor	associative array processor<br>相联阵列处理机
associative array register	associative array register<br>相联阵列寄存器;［结合阵列暂存器］
associative key	associative key<br>相联关键字;［结合键］
associative language	associative language<br>相联语言
associative memory	associative memory<br>相联存储器;［结合记忆器］
associative processor	associative processor<br>相联处理器;［结合处理机］
associative register	associative register<br>相联寄存器;［结合暂存器］
associative storage	associative storage<br>相联存储器;［结合储存器］
associative storage register	associative storage register<br>相联储存寄存器;［结合存储暂存器］
assumed decimal point	assumed decimal point<br>假定小数点
assumed-size aggregate	assumed-size aggregate<br>假定大小集(合)
AST	AST<br>异步系统捕获
ASTAP	ASTAP<br>高级统计分析程序语言,ASTAP语言
